OKI,OKI,http://osid.org/,The Open Service Interface Definitions (OSIDs) define a service-based architecture to promote software interoperability.,hold
ant,ant,http://ant.apache.org/,Apache Ant is a Java library and command-line tool whose mission is to drive processes described in build files as targets and extension points dependent upon each other.,
antisamy,antisamy,https://www.owasp.org/index.php/Category:OWASP_AntiSamy_Project,OWASP AntiSamy is a library for HTML and CSS encoding.,
antlr,antlr,http://www.antlr.org/,"ANTLR (ANother Tool for Language Recognition) is a powerful parser generator for reading, processing, executing, or translating structured text or binary files. It's widely used to build languages, tools, and frameworks. From a grammar, ANTLR generates a parser that can build and walk parse trees.",
aopalliance,aopalliance,,,
api,api,,,
asm,asm,,,
aspectj,aspectj,,,
avalon-framework,avalon-framework,,,
azeckoski,azeckoski,,,
backport-util-concurrent,backport-util-concurrent,,,
batik,batik,,,
beust,beust,,,
bind,bind,,,
bluejoe2008,bluejoe2008,,,
bouncycastle,bouncycastle,,,
bower,bower,,,
bytebuddy,bytebuddy,,,
c3p0,c3p0,,,
castor,castor,,,
cglib,cglib,,,
client,client,,,
codelibs,codelibs,,,
commons,commons,,,
commons-beanutils,commons-beanutils,,,
commons-betwixt,commons-betwixt,,,
commons-codec,commons-codec,,,
commons-collections,commons-collections,,,
commons-configuration,commons-configuration,,,
commons-dbcp,commons-dbcp,,,
commons-digester,commons-digester,,,
commons-el,commons-el,,,
commons-fileupload,commons-fileupload,,,
commons-httpclient,commons-httpclient,,,
commons-io,commons-io,,,
commons-lang,commons-lang,,,
commons-logging,commons-logging,,,
commons-net,commons-net,,,
commons-pool,commons-pool,,,
commons-validator,commons-validator,,,
core,core,,,
cxf,cxf,,,
dandelion,dandelion,,,
derby,derby,,,
dom4j,dom4j,,,
drewnoakes,drewnoakes,,,
driver,driver,,,
easymock,easymock,,,
ehcache,ehcache,,,
elasticsearch,elasticsearch,,,
esapi,esapi,,,
extensions,extensions,,,
ezmorph,ezmorph,,,
fasterxml,fasterxml,,,
findbugs,findbugs,,,
fop,fop,,,
framework,framework,,,
freemarker,freemarker,,,
fusesource,fusesource,,,
gagravarr,gagravarr,,,
geronimo-spec,geronimo-spec,,,
groovy,groovy,,,
gson,gson,,,
guava,guava,,,
guice,guice,,,
hamcrest,hamcrest,,,
hazelcast,hazelcast,,,
hibernate,hibernate,,,
hsqldb,hsqldb,,,
httpcomponents,httpcomponents,,,
httpunit,httpunit,,,
ical4j,ical4j,,,
icu,icu,,,
iharder,iharder,,,
imgscalr,imgscalr,,,
ims,ims,,,
inject,inject,,,
isorelax,isorelax,,,
itadaki,itadaki,,,
jackcess,jackcess,,,
jackson,jackson,,,
jakarta-regexp,jakarta-regexp,,,
james,james,,,
jasypt,jasypt,,,
javafaker,javafaker,,,
javassist,javassist,,,
jaxen,jaxen,,,
jaxrs,jaxrs,,,
jcip,jcip,,,
jclouds,jclouds,,,
jdbc,jdbc,,,
jdom,jdom,,,
jericho,jericho,,,
jetty,jetty,,,
jfree,jfree,,,
jgroups,jgroups,,,
jhlabs,jhlabs,,,
jknack,jknack,,,
jmatio,jmatio,,,
jmock,jmock,,,
jna,jna,,,
joda-time,joda-time,,,
json,json,,,
json-lib,json-lib,,,
json-simple,json-simple,,,
jsoup,jsoup,,,
jta,jta,,,
jtidy,jtidy,,,
juliusdavies,juliusdavies,,,
junit,junit,,,
juniversalchardet,juniversalchardet,,,
junrar,junrar,,,
jwordnet,jwordnet,,,
jyaml,jyaml,,,
ldap,ldap,,,
log4j,log4j,,,
logging,logging,,,
logkit,logkit,,,
lowagie,lowagie,,,
lucene,lucene,,,
mockito,mockito,,,
module,module,,,
mortennobel,mortennobel,,,
mozilla,mozilla,,,
mp4parser,mp4parser,,,
msv,msv,,,
mysql,mysql,,,
neethi,neethi,,,
nekohtml,nekohtml,,,
objenesis,objenesis,,,
odmg,odmg,,,
ogce,ogce,,,
ognl,ognl,,,
opencsv,opencsv,,,
opengis,opengis,,,
opennlp,opennlp,,,
opensaml,opensaml,,,
oro,oro,,,
paranamer,paranamer,,,
pdfbox,pdfbox,,,
pff,pff,,,
plexus,plexus,,,
plugins,plugins,,,
pluto,pluto,,,
poi,poi,,,
powermock,powermock,,,
projectlombok,projectlombok,,,
protobuf,protobuf,,,
provider,provider,,,
quartz,quartz,,,
quartz-scheduler,quartz-scheduler,,,
recaptcha4j,recaptcha4j,,,
regexp,regexp,,,
relaxngDatatype,relaxngDatatype,,,
rome,rome,,,
rometools,rometools,,,
rsf,rsf,,,
sanselan,sanselan,,,
santuario,santuario,,,
saxpath,saxpath,,,
scm,scm,,,
security,security,,,
simpleframework,simpleframework,,,
slf4j,slf4j,,,
spatial4j,spatial4j,,,
specs,specs,,,
springframework,springframework,,,
stax,stax,,,
storage,storage,,,
struts,struts,,,
subethamail,subethamail,,,
symmetric,symmetric,,,
taglibs,taglibs,,,
tagsoup,tagsoup,,,
terracotta,terracotta,,,
thymeleaf,thymeleaf,,,
tika,tika,,,
tomahawk,tomahawk,,,
tomcat,tomcat,,,
tukaani,tukaani,,,
twitter4j,twitter4j,,,
ucar,ucar,,,
unbescape,unbescape,,,
utils,utils,,,
velocity,velocity,,,
velocity-tools,velocity-tools,,,
virtuald,virtuald,,,
vividsolutions,vividsolutions,,,
webjars,webjars,,,
wicket,wicket,,,
wicketstuff,wicketstuff,,,
woodstox,woodstox,,,
wsdl4j,wsdl4j,,,
xalan,xalan,,,
xerces,xerces,,,
xml-apis,xml-apis,,,
xml-resolver,xml-resolver,,,
xmlbeans,xmlbeans,,,
xmlgraphics,xmlgraphics,,,
xmlschema,xmlschema,,,
xmp,xmp,,,
xom,xom,,,
xpp3,xpp3,,,
xstream,xstream,,,
yaml,yaml,,,
zaxxer,zaxxer,,,
zing,zing,,,
